timestamp_et,mode,action,symbol,qty,price,note
2026-09-23T14:19:45-04:00,LIVE-paper,buy,BTC/USD,0.00059200,84226.76,fee 0.1247
2026-09-23T14:19:45-04:00,LIVE-paper,buy,ETH/USD,0.01871693,2664.50,fee 0.1247
2026-09-23T17:38:24-04:00,LIVE-paper,sell,BTC/USD,0.00059052,84194.44,P/L -0.3928; fee 0.1243
2026-09-23T17:38:24-04:00,LIVE-paper,sell,ETH/USD,0.01868885,2661.63,P/L -0.3774; fee 0.1244
2026-09-24T08:54:13-04:00,LIVE-paper,buy,ETH/USD,0.03672464,2694.91,fee 0.2474
2026-09-24T08:54:17-04:00,LIVE-paper,sell,ETH/USD,0.03666956,2641.80,P/L -2.5856; fee 0.2422
2026-09-24T16:47:11-04:00,LIVE-paper,buy,SOL/USD,0.82492692,116.83,fee 0.2409
2026-09-25T08:13:17-04:00,LIVE-paper,sell,SOL/USD,0.82368953,116.23,P/L -1.1166; fee 0.2394
2026-09-25T13:08:46-04:00,LIVE-paper,buy,BTC/USD,0.00112772,84483.38,fee 0.2382
2026-09-25T16:28:29-04:00,LIVE-paper,sell,BTC/USD,0.00112603,83850.11,P/L -1.3303; fee 0.2360
2026-09-25T19:23:33-04:00,LIVE-paper,buy,SOL/USD,0.76828929,122.27,fee 0.2348
2026-09-26T02:39:22-04:00,LIVE-paper,sell,SOL/USD,0.76713685,120.32,P/L -2.1001; fee 0.2308
